ISO code,Population,Value
"SWZ","Eswatini","75.3",
"MWI","Malawi","72.9",
"ZMB","Zambia","66.4",
"ZWE","Zimbabwe","62.3",
"TZA","Tanzania,UnitedRepublicof","59.1",
"BDI","Burundi","57.4",
"UGA","Uganda","54.8",
"LSO","Lesotho","52.1",
"MDG","Madagascar","51.6",
"COM","Comoros","50.9",
"GIN","Guinea","45.5",
"BFA","BurkinaFaso","45.1",
"MLI","Mali","43.9",
"ZAF","SouthAfrica","43.5",
"MOZ","Mozambique","42.8",
"BOL","Bolivia,PlurinationalStateof","38.5",
"SEN","Senegal","37.8",
"LBR","Liberia","37.2",
"AGO","Angola","36.1",
"KEN","Kenya","33.8",
"GHA","Ghana","32.9",
"MRT","Mauritania","32.9",
"GNB","Guinea-Bissau","32.7",
"GUY","Guyana","32.7",
"RWA","Rwanda","31.9",
"BWA","Botswana","31.6",
"PRY","Paraguay","31.5",
"CMR","Cameroon","31.3",
"PNG","PapuaNewGuinea","29.1",
"GMB","TheRepublicoftheGambia","29.0",
"CIV","Côted'Ivoire","28.6",
"JAM","Jamaica","28.4",
"BLZ","Belize","28.0",
"NGA","Nigeria","27.2",
"GNQ","EquatorialGuinea","26.9",
"SSD","SouthSudan","26.9",
"SUR","Suriname","26.8",
"FJI","Fiji","25.9",
"LVA","Latvia","25.0",
"COD","Congo,DemocraticRepublicof","24.8",
"NAM","Namibia","24.2",
"SOM","Somalia","24.0",
"BIH","BosniaandHerzegovina","23.9",
"TGO","Togo","23.8",
"BEN","Benin","23.7",
"VEN","Venezuela,BolivarianRepublicof","23.7",
"MNG","Mongolia","23.5",
"IDN","Indonesia","23.4",
"MDV","Maldives","23.2",
"PER","Peru","23.2",
"SLB","SolomonIslands","22.6",
"EST","Estonia","22.5",
"NPL","Nepal","21.5",
"MMR","Myanmar","21.5",
"MDA","RepublicofMoldova","21.4",
"NIC","Nicaragua","21.2",
"GTM","Guatemala","21.1",
"GUF","FrenchGuiana","20.8",
"BRN","Brunei","20.6",
"CPV","CaboVerde","20.5",
"BGR","Bulgaria","20.3",
"SRB","Serbia","20.3",
"STP","SaoTomeandPrincipe","20.1",
"GAB","Gabon","20.0",
"KGZ","Kyrgyzstan","19.9",
"HND","Honduras","19.6",
"ROU","Romania","19.5",
"TCD","Chad","19.3",
"CAF","CentralAfricanRepublic","19.2",
"LTU","Lithuania","18.9",
"ETH","Ethiopia","18.9",
"GUA","Guam","18.7",
"SLV","ElSalvador","18.5",
"PAN","Panama","18.4",
"ECU","Ecuador","17.8",
"COG","Congo,Republicof","17.5",
"MAR","Morocco","17.2",
"HUN","Hungary","17.2",
"DOM","DominicanRepublic","17.1",
"HTI","Haiti","17.1",
"VUT","Vanuatu","17.0",
"RUS","RussianFederation","17.0",
"UKR","Ukraine","17.0",
"ARG","Argentina","16.7",
"SVK","Slovakia","16.6",
"NCL","France,NewCaledonia","16.5",
"THA","Thailand","16.2",
"KAZ","Kazakhstan","15.7",
"BRB","Barbados","15.5",
"TTO","TrinidadandTobago","15.2",
"PHL","Philippines","14.9",
"IND","India","14.7",
"JPN","Japan","14.7",
"CUB","Cuba","14.6",
"BTN","Bhutan","14.4",
"SLE","SierraLeone","13.8",
"ERI","Eritrea","13.8",
"TKM","Turkmenistan","13.6",
"KHM","Cambodia","13.5",
"DJI","Djibouti","13.3",
"BLR","Belarus","13.3",
"LCA","SaintLucia","13.0",
"COL","Colombia","12.7",
"WSM","Samoa","12.6",
"TLS","Timor-Leste","12.5",
"MNE","Montenegro","12.5",
"URY","Uruguay","12.4",
"MUS","Mauritius","12.4",
"CHL","Chile","12.2",
"BRA","Brazil","12.2",
"LBY","Libya","11.5",
"LAO","LaoPeople'sDemocraticRepublic","11.4",
"CRI","CostaRica","11.2",
"PRK","Korea,DemocraticRepublicof","11.1",
"MEX","Mexico","11.0",
"IRL","Ireland","11.0",
"DNK","Denmark","10.9",
"BHS","Bahamas","10.9",
"NOR","Norway","10.7",
"CHN","China","10.7",
"BGD","Bangladesh","10.6",
"MYS","Malaysia","10.5",
"REU","France,LaRéunion","10.5",
"PRI","PuertoRico","10.2",
"PYF","FrenchPolynesia","10.1",
"MKD","TheformerYugoslavRepublicofMacedonia","10.0",
"CZE","Czechia","9.9",
"UZB","Uzbekistan","9.9",
"GEO","Georgia","9.8",
"NER","Niger","9.6",
"POL","Poland","9.4",
"GLP","France,Guadeloupe","9.3",
"SWE","Sweden","9.0",
"PRT","Portugal","8.9",
"GBR","UnitedKingdom","8.4",
"KOR","Korea,Republicof","8.4",
"ARM","Armenia","8.4",
"SDN","Sudan","8.2",
"GRC","Greece","8.1",
"DZA","Algeria","8.1",
"HRV","Croatia","7.9",
"BEL","Belgium","7.8",
"LKA","SriLanka","7.8",
"SGP","Singapore","7.7",
"MTQ","France,Martinique","7.6",
"ISL","Iceland","7.6",
"DEU","Germany","7.5",
"PAK","Pakistan","7.3",
"VNM","VietNam","7.1",
"ITA","Italy","7.1",
"SVN","Slovenia","7.1",
"FRA","France","6.7",
"AFG","Afghanistan","6.6",
"ALB","Albania","6.5",
"USA","UnitedStatesofAmerica","6.5",
"AZE","Azerbaijan","6.5",
"ARE","UnitedArabEmirates","6.4",
"OMN","Oman","6.3",
"AUS","Australia","6.0",
"NZL","NewZealand","6.0",
"LBN","Lebanon","5.7",
"NLD","TheNetherlands","5.7",
"CYP","Cyprus","5.7",
"TJK","Tajikistan","5.7",
"CAN","Canada","5.7",
"LUX","Luxembourg","5.6",
"AUT","Austria","5.5",
"ESP","Spain","5.2",
"ISR","Israel","4.8",
"TUR","Turkey","4.8",
"FIN","Finland","4.7",
"TUN","Tunisia","4.0",
"QAT","Qatar","4.0",
"CHE","Switzerland","3.8",
"BHR","Bahrain","3.8",
"MLT","Malta","3.5",
"SYR","SyrianArabRepublic","3.5",
"KWT","Kuwait","3.3",
"JOR","Jordan","2.9",
"PSE","GazaStripandWestBank","2.5",
"SAU","SaudiArabia","2.5",
"EGY","Egypt","2.3",
"IRN","Iran,IslamicRepublicof","2.2",
"IRQ","Iraq","1.9",
"YEM","Yemen","1.9",
